job_title,company_name,location,posted,employment statuses,salary,skill,job_categorie,job_requirment,job_Description,link
Technical Lead (Python Django & React Native),Money Loop  ,"New Cairo, Cairo, Egypt ",11 days ago,Full TimeHybrid,Confidential,"Python Django, React Native, Node.js, Continues Integration (CI), Continuous Delivery (CD), DevOps, Github Actions, Docker, Oracle Cloud Infrastructure (OCI), AWS, Terraform, Agile, MySQL, Computer Science, JavaScript, Unit Testing, Team Leadership",IT/Software Development,"Daily and Monthly ResponsibilitiesDesigning and developing scalable full stack web solutions using Python DjangoDesign and construction of our REST API using Django frameworkDesign and deployment of our database in MySQL.Knowledge of object-relational mapping (ORM)Maintain existing React Native systems, including fixing bugs, developing and implementing new user interface componentsDesign and develop new custom components to meet project requirementsInstall and configure server environments for React deploymentsMaintain and update project dependencies as well as fix any conflictsMaintaining code quality through best practices, unit testing and code quality automationUtilizing best practices for design, development, security, CI/CD and scalabilityParticipating in code reviews and providing guidance on how to solve issues/concernsMaintain existing project structure to make the development process more effective and easyBuild reusable modules and libraries for future use.Working closely and communicating adequately with Product Managers, Backend Developers, Frontend Developers, Quality Assurance Engineers, UX Developers and DevOps Engineers to achieve team goals. Skills and Qualifications8+ years of software development experience, and strong proficiency in Python, Django, Django Rest Framework, Advanced experience with SQL and NoSQL databases, MYSQL is a must.Proficient with the latest versions of ECMAScript (JavaScript) as well as HTML and CSSExperience of React/React Native and common tools used in the wider React ecosystem, such as Node.js and npmExperience with common programming tools such as Redux, TypeScript, version control software, and remote deployment toolsAn understanding of common programming paradigms and fundamental React principles, such as React components, hooks, and the React lifecycleKnowledge of how to build and use RESTful APIs.Experience deploying Python applications into production.Experience publishing mobile applications on Apple store & Play StoreExperience with server management and deployment tools like Oracle Cloud Infrastructure (OCI) or AWS, Cloud Formation, Ansible, Terraform, Kubernetes, Docker or relevant Working with Version Control & CI/CD tools like Git, GitHub Actions, JenkinsProblem-solving, strong unit test, and debugging skills.Full Understanding of accessibility and security compliance.Practical knowledge in performance optimizations. Familiarity working closely with UX and Visual Designers in a dynamic environmentComfortable working in a dynamic and agile team environment.Experience with DevOps tools and operations.Experience working in Linux environments and basic shells is a plus.Experience of working in a Scrum team using tools like JIRA.","We are looking for an experienced Technical Lead for full stack development of Python Django as backend technology and React Native for frontend technology of mobile application to produce scalable and performant mobile application on both the iOS and Android platforms. You will be responsible for architecting and building these applications from Backend to Frontend, as well as coordinating with the teams responsible for other layers of the product infrastructure. You’ll be part of a cross-functional team that’s responsible for the full software development life cycle, from conception to deployment.Building a product is a highly collaborative effort, and as such, a strong team lead with a commitment to perfection and very good at communication and facilitation between the team members is required. You should also be a team player with a knack for visual design and utility.You also have to be familiar with Agile methodologies.Objectives of this RoleEstablishing project specifications and technical direction Creating a framework of technical standards and procedures  Overseeing software quality and system modifications Guiding team members with troubleshooting technical issuesAnalyzing existing operations to identify risks and redundanciesParticipating in the design and creation of scalable softwareStill writing clean, functional code on the front- and back-end and not ratified with management level onlyEnsures the software development team produces scalable and functional applications that meet company specifications. You will also be responsible to handle and mentor the team.Automate as much a you can for fast delivery to the market and maintain the CI/CD pipeline with the DevOps EngineerMonitor our Cloud infrastructure and Optimize itHave a previous Experience in microservice architecture and its challenges with the different solutions that tackle those challenges based on the product context",https://wuzzuf.net/jobs/p/OIf0OxgJ527L-Technical-Lead-Python-Django-React-Native-Money-Loop-Cairo-Egypt
Python Developer,Digizilla ,"Cairo, Egypt ",12 days ago,Full TimeOn-site,Confidential,"Computer Science, Django, Flask, Software Development, Information Technology (IT), Python, Programming, JavaScript, Git, front-end, CSS, HTML",IT/Software Development,"Bachelor's degree in Computer Science or a related field◽ Strong understanding of Python programming language fundamentals◽ Experience with web frameworks such as Django or Flask◽ Familiarity with front-end technologies like HTML, CSS, and JavaScript◽ Knowledge of version control systems (e.g., Git)◽ Strong problem-solving skills and attention to detail◽ Excellent communication and teamwork abilities","Collaborate with the development team to design and implement Python-based solutions◽ Contribute to the development of web applications using frameworks like Django or Flask◽ Write clean, efficient, and maintainable code while adhering to coding standards◽ Participate in code reviews and provide constructive feedback to team members◽ Troubleshoot and debug application issues to ensure optimal performance◽ Stay updated with the latest industry trends, tools, and techniques in Python development",https://wuzzuf.net/jobs/p/Yr23wrOTNJzg-Python-Developer-Digizilla-Cairo-Egypt
Senior .NET & Python Developer,Techsa ,"New Cairo, Cairo, Egypt ",16 days ago,Full TimeHybrid,Confidential,".Net, ASP.Net, MVC, OOP, Python, Software Development, Information Technology (IT), Computer Science, SQL",IT/Software Development,"Job QualificationsBachelors of Computer Science /Computer Engineering.4+ Years of Experience in software development and design. Knowledge, Skills, and AbilitiesFamiliarity with relational database design, programming concepts, and best practices such as code efficiency, code optimization, object-oriented programming, and commenting.Proven experience implementing tasks using C#, ASP.NET Core, & Entity Framework core)Proficiency in Python​Excellent understanding of OOP, n-tier architecture and design patterns.Strength working with an MVC Framework.Knowledge in Entity Framework is a must.Experience in non-SQL databases such as MongoDB and Cassandra is a major plus.Experience with source control systems such as Git, SVN, etc.Familiarity with Azure cloud platform.Exposure to Microservices architecture, Continuous Integration experience Experience with using Docker to build containerized applicationsSolid verbal and written communication with excellent problem-solving skills.Familiarity with backend development practices.Disciplined self-starter able to be highly productive both working alone and in collaboration with a team.","Techsa is looking for a Senior .NET & Python developer responsible for building applications using C#, Python and .NET Core. Your primary responsibility will be to design and develop these layers of our applications, and to lead the rest of the team in working on the different layers of the infrastructure. A commitment to collaborative problem solving, sophisticated design, and quality product is essential. Primary Responsibilities Work with the Technical Team Lead to design technical solutions that meet the business requirementsLead the development team throughout the design, development, testing, and implementation of the technical end-to- end solutionBe a thought leader and lead in all areas and ownership of the digital and software platformReview the solution with security teams, clients, and development teamAdvocate for the best technical solution and train and mentor junior developersOwn low-level designs and security reviews, technical implementation of deployments, and coordinate production deploymentsDrive continuous process improvements within the development teamEvaluate 3rd party tools and frameworks and interface with 3rd party technical teams",https://wuzzuf.net/jobs/p/vBXn6HTElzft-Senior-NET-Python-Developer-Techsa-Cairo-Egypt
Senior Python Developer,Visionare ,"Alexandria, Egypt ",16 days ago,Full TimeHybrid,Confidential,"Senior Python Developer, Python, Django, Flask, RESTful APIs, PostgreSQL, MySQL, Docker, Kubernetes, Cloud Platforms",IT/Software Development,"Experience: Minimum of 5 years of professional experience in Python development.Education: Bachelor’s degree in Computer Science, Engineering, or a related field.Technical Skills:Strong proficiency in Python and its frameworks (e.g., Django, Flask).Experience with front-end technologies (e.g., HTML, CSS, JavaScript).Proficiency in database systems (e.g., PostgreSQL, MySQL).Experience with RESTful APIs and microservices architecture.Familiarity with version control systems (e.g., Git).Knowledge of containerization and orchestration tools (e.g., Docker, Kubernetes).Soft Skills:Excellent problem-solving skills.Strong communication and teamwork abilities.Ability to work in a fast-paced, agile development environment.Strong attention to detail and commitment to quality.Preferred Qualifications:Experience with cloud platforms (e.g., AWS, Azure, Google Cloud).Knowledge of machine learning and data analysis.Previous experience in startup environments or with business automation solutions.Additional Responsibilities:Providing support to Sherkety’s clients outside of Egypt, ensuring effective implementation and operation of our services.Collaborating with international teams to tailor solutions that meet the needs of a diverse client base.","Sherkety, an innovative startup hub in Egypt designed to simplify the process of starting and managing businesses, is looking for a highly skilled Senior Python Developer to join our dynamic team. As a Senior Python Developer at Sherkety, you will play a crucial role in developing and maintaining our core systems, which support our business registration, virtual address, website setup, ERP system, and more. You will work closely with our cross-functional team to deliver high-quality software solutions that drive our mission forward. Additionally, you will be supporting our clients outside of Egypt, ensuring seamless integration and operation of our services on an international scale.",https://wuzzuf.net/jobs/p/xg3DZrKJMRLu-Senior-Python-Developer-Visionare-Alexandria-Egypt
Software Engineer (Python),Wakeb Data ,"Mohandessin, Giza, Egypt ",16 days ago,Full TimeOn-site,"Confidential, Medical Insurance","DevOps, API, Python",IT/Software Development,"Bachelor's degree in computer science, Engineering, or a related field. Proven experience as a Software Engineer with a focus on deployment and DevOps. Strong proficiency in Python programming language. Experience with automation tools and frameworks. Knowledge of CI/CD pipelines and tools (e.g., Jenkins, GitLab CI/CD). Familiarity with containerization technologies (e.g., Docker) and orchestration tools (e.g., Kubernetes). Understanding of cloud platforms (e.g., AWS, Azure, GCP) and their deployment services. Experience with Django and FastAPI frameworks for API development. Strong problem-solving skills and attention to detail. Excellent communication and teamwork abilities.  Experience with microservices architecture and deployment. Familiarity with monitoring and logging tools. Certification in relevant technologies (e.g., AWS Certified DevOps Engineer).","Design and implement automated deployment pipelines using Python and related technologies. Develop scripts and tools to automate repetitive tasks and improve deployment processes. Monitor and troubleshoot deployment issues to ensure high availability and performance of applications. Work with containerization technologies (e.g., Docker) and orchestration tools (e.g., Kubernetes) to manage and deploy applications. Implement best practices for security, scalability, and reliability in deployment processes. Maintain documentation for deployment procedures and configurations. Develop and maintain APIs using Django and FastAPI frameworks. Integrate APIs with front-end and other back-end services. Stay up to date with the latest trends and technologies in software deployment, DevOps practices, and API development. Collaborate with development and operations teams to ensure seamless integration and deployment of software products. Develop and implement GUI systems.",https://wuzzuf.net/jobs/p/yxYzhmhEWh70-Software-Engineer-Python-Wakeb-Data-Giza-Egypt
Python Developer,coto ,"Cairo, Egypt ",15 days ago,Full TimeRemote,1000 to 2000 USD Per Month,"Django, API, AI, Data Processing, Computer Science, Docker, Engineering, Information Technology (IT), MongoDB, Software, Software Development, Python, JavaScript, AWS, HTML5",IT/Software Development,"Essential QualificationsMinimum 4 years of backend development experience with Python.Proficiency in integrating with data layers such as MongoDB and Kafka, handling CRUD operations, schema migrations, and CDD, ETL data pipelines interaction.Expertise in prominent Python web & ORM frameworks.Comprehensive understanding of the Software Development Life Cycle, emphasizing continuous integration and deployment.Experience with processing high-volume, high-throughput data from Kafka, including knowledge of partitioning and configuration fine-tuning.Familiarity with distributed computing in Python, utilizing Apache Airflow for distributed tasks and data processing.Ability to create and manage data dashboards and visualizations using tools like Pandas.Steadfast commitment to upholding data privacy and security standards.Preferred QualificationsExperience with containerization, specifically Docker, and optimizing its performance.Hands-on experience in GitOps, primarily in steering automation code pipelines.Familiarity with Kubernetes and ArgoCD for streamlined deployments and application configurations.Solid background working in cloud environments, especially AWS.Work experience as a Python DeveloperExpertise in at least one popular Python framework (like Django, Flask or Pyramid)Knowledge of object-relational mapping (ORM)Familiarity with front-end technologies (like JavaScript and HTML5)Team spiritGood problem-solving skillsBSc in Computer Science, Engineering or relevant field","OverviewStep into the role of a Python Artisan Engineer, where craftsmanship meets innovation. Your mission will be to expertly shape our social media platform, seamlessly integrating API, data processing, and AI engineering. As an artisan, you will weave together technical mastery with forward-thinking solutions. Join our cadre of specialists in setting the gold standard for the next era of digital progression.Role DescriptionAs a Python Platform Developer, you'll dive deep into our platform's API layer while mastering the core data processing elements. The role requires collaboration with diverse technical and non-technical teams, including product strategists, QA experts, data specialists, and tech architects.Key ResponsibilitiesAPI Development: Craft and optimize our API layer, leveraging technologies such as FastAPI, Pydantic, Kafka, and Redis.Core Data Processing Layer: Oversee and enhance the core data processing operations using tools like Apache Airflow and Kafka Sensors. This includes handling vast data scales, partitioning, and fine-tuning Kafka configurations to consume high-volume, high-throughput data efficiently.AI Engineering: Engage with leading LLMs, including OpenAI, Llama, and Vector database. Design and deploy state-of-the-art solutions for both generative and descriptive AI. Seamlessly integrate AI Copilot into the development lifecycle, harnessing its generative code and solution design capabilities.Quality Assurance: Commit to our high standards by ensuring every piece of code goes through rigorous automated testing - spanning unit tests, integration, and end-to-end tests.Data Management: Handle vast data scales with proficiency in crafting efficient queries and optimizing existing ones. Ensure robust ETL pipelines using Apache Airflow and efficiently extract, transform, and load data from sources such as MongoDB.Dashboard and Visualization: Utilize your data science skills to pull data, create dashboards, and visualizations using relevant tools. Transform data into actionable insights and desired formats.Collaboration: Immerse yourself in our extreme programming approach that promotes pair programming, alignment with QA for testing paradigms, and synergies with tech architects for superior solutions. Our PromiseBy joining us, you're not just becoming a part of a team; you're entering a community. With our dedication to collaboration, continuous learning, and quality, you're poised to thrive in an environment that simultaneously challenges and nurtures.",https://wuzzuf.net/jobs/p/GrjY4GUkc4jz-Python-Developer-coto-Cairo-Egypt
Senior python backend developer.,Pioneers Now ,"Nasr City, Cairo, Egypt ",1 month ago,Full TimeHybrid,Male,"backend, Software, Software Development, Web Development",Business Development,"Bachelor's or Master's degree in Computer Science, Software Engineering, or a related field.5+ years of professional experience in backend development using Python.Solid understanding of software design patterns, data structures, and algorithms.Proven experience with AI/ML frameworks (e.g., TensorFlow, PyTorch, Scikit-Learn) and deploying machine learning models.Strong experience with web frameworks (e.g., Flask, Django) and building RESTful APIs.Familiarity with cloud platforms (AWS, GCP, Azure) and containerization (Docker, Kubernetes).Solid understanding of relational and NoSQL databases.Experience with microservices architecture and distributed systems is a plus.Excellent problem-solving skills and the ability to work independently or as part of a team.Effective communication skills and a collaborative mindset.","Role Overview:We are seeking a Senior Backend Python Developer with a passion for AI to join our growing team. The ideal candidate will possess deep expertise in backend development, with significant hands-on experience working on scalable systems and integrating AI/ML technologies. If you thrive in a fast-paced, problem-solving environment and enjoy creating robust, high-performance systems, we’d love to meet you.Responsibilities:Design, implement, and maintain backend architecture using Python, ensuring high scalability, performance, and security.Collaborate with data scientists and AI/ML engineers to integrate machine learning models into backend systems.Develop and optimize RESTful APIs to facilitate data processing and model deployment.Work with cross-functional teams to understand product requirements and translate them into technical solutions.Implement best practices in code quality, testing, and system monitoring to ensure reliability and maintainability.Contribute to the architecture roadmap, identifying opportunities for improvement and innovation.Mentor and guide junior developers, promoting a culture of knowledge sharing.",https://wuzzuf.net/jobs/p/elLKZgBCFIgA-Senior-python-backend-developer-Pioneers-Now-Cairo-Egypt
Python Django Web and Bot developer,"Khatib Law, LLC ","Cairo, Egypt ",1 month ago,Full TimeRemote,20000 to 30000 EGP Per Month,"Django Framework, Python, MySQL, Java, Azure, AWS, Software Development, Software Engineering, Software, Information Technology (IT), Engineering, Computer Science, Agile, Scala",IT/Software Development,"Bachelor's DegreeAt least 4 years of professional software engineering experience (Internship experience does not apply)5+ years of experience in at least one of the following: Java, Scala, Python, Go, or Node.js1+ years of experience with AWS, GCP, Azure, Digital Ocean or another cloud service3+ years of experience in open source frameworks2+ years of experience in Agile practices","Proven work experience as a Back-end developerIn-depth understanding of the entire web development process (design, development and deployment)Hands on experience with programming languages like Java, Ruby, PHP and PythonWorking knowledge of CMS frameworkFamiliarity with front-end languages (e.g. HTML, JavaScript and CSS)Excellent analytical and time management skillsTeamwork skills with a problem-solving attitudeBSc degree in Computer Science or relevant field",https://wuzzuf.net/jobs/p/0UMCd4gCr0VM-Python-Django-Web-and-Bot-developer-Khatib-Law-LLC-Cairo-Egypt
Python Backend Developer - Saudi Arabia - Remotely,Alexandria For Programming ,"Riyadh, Saudi Arabia ",1 month ago,Full TimeRemote,Confidential,"Software Architecture, python, django, Flask, Information Technology (IT), Software Engineering, Design Patterns, Software Development, Software, Computer Science",IT/Software Development,"At least 5+ years of professional experience developing web applicationsExpertise in at least one popular Python framework (like Django, Flask, or Pyramid)A Bachelor’s degree in Computer Science or equivalent experienceA portfolio of completed projectsKnowledge of object-oriented principles, design patterns, and software architecture best practices.","Proficiency in SQL databases.Practical experience with APIs and REST endpoints.Strong debugging skills and familiarity with debugging tools and familiarity with version control systems such as GIT.Collaborate with product owners, developers, scrum master to plan work, share new ideas, and troubleshoot issues.",https://wuzzuf.net/jobs/p/uTvG82cjitmd-Python-Backend-Developer---Saudi-Arabia---Remotely-Alexandria-For-Programming-Riyadh-Saudi-Arabia
Senior Python Developer,TechJump ,"Alexandria, Egypt ",1 day ago,Full TimeHybrid,"Confidential, Competitive salary and benefits
Payment in USD","Computer Science, Engineering, Information Technology (IT), Software Development, Python, Django",IT/Software Development,"Work experience as a Python DeveloperExpertise in at least one popular Python framework (like Django, Flask or Pyramid)Knowledge of object-relational mapping (ORM)Familiarity with front-end technologies (like JavaScript and HTML5)Team spiritGood problem-solving skillsBSc in Computer Science, Engineering or relevant field","Write effective, scalable codeDevelop back-end components to improve responsiveness and overall performanceIntegrate user-facing elements into applicationsTest and debug programsImprove functionality of existing systemsImplement security and data protection solutionsAssess and prioritize feature requestsCoordinate with internal teams to understand user requirements and provide technical solutions",https://wuzzuf.net/jobs/p/LJek665p92TI-Senior-Python-Developer-TechJump-Alexandria-Egypt
DevOps Engineer,Softec Technologies ,"Maadi, Cairo, Egypt ",1 day ago,Full TimeOn-site,Confidential,"Computer Science, DevOps, Information Technology (IT), Java, Software Development, Unix, Azure, Engineering, Docker, Jenkins, Python, Linux",IT/Software Development,"Bachelor's degree in Computer Science, Engineering, or a related field.3+ years of experience in a DevOps role, with a focus on infrastructure automation, configuration management, and deployment.Good experience with containerization technologies (Docker) and Azure DevOps.Good experience in at least one programming language (Python, Ruby, Java, etc.).Familiarity with continuous integration and continuous deployment tools such as Jenkins & CircleCI is a plus.Good understanding of Linux/Unix operating systems and command-line tools.Excellent troubleshooting and problem-solving skills.Strong communication and collaboration skills, with the ability to work effectively in a team environment.","We are seeking a talented DevOps Engineer to join our team. The successful candidate will be responsible for designing, building, and maintaining the infrastructure and tools that enable our development teams to deploy and operate software in a fast, reliable, and secure manner.Responsibilities:Design, build, and maintain the infrastructure and tools required for continuous integration, continuous deployment, and automated testing.Collaborate with development teams to optimize the software delivery pipeline, from code commit to production deployment.Streamline and automate manual processes to increase efficiency and reduce time-to-production.Work with security teams to ensure that our systems meet compliance and security requirements.",https://wuzzuf.net/jobs/p/N33h30LSmRgj-DevOps-Engineer-Softec-Technologies-Cairo-Egypt
AI Engineer,Paxerahealth Corp ,"Cairo, Egypt ",1 day ago,Full TimeHybrid,Confidential,"C++, AI, Computer Science, Information Technology (IT), Machine Learning, Programming, Frameworks, Artificial Intelligence, Python",IT/Software Development,"Qualifications:Master's or PhD in Computer Science, Artificial Intelligence, Biomedical Engineering, or related field.Proven experience in leading AI projects, preferably in the healthcare domain.Strong background in machine learning, deep learning, and computer visionFamiliarity with medical imaging technologies (e.g., MRI, CT, X-ray) and clinical workflowsExperience with regulatory standards in healthcare technology (e.g., HIPAA, FDA)Excellent problem-solving, leadership, and communication skillsSkills:Proficiency in programming languages such as Python, C++, or JavaExperience with AI and ML frameworks.Strong analytical and critical thinking abilitiesAbility to work in a fast-paced and dynamic environment.","Job Overview:We are seeking a highly skilled and experienced AI team leader to lead our medical imaging AI development team. The successful candidate will be responsible for overseeing the development and implementation of advanced AI algorithms and systems for medical imaging applications. The role demands a combination of technical expertise in AI and machine learning, along with a deep understanding of medical imaging technology and its clinical applications.Key Responsibilities:1. Leadership and Team Management:Lead and manage a team of AI engineers and data scientists.Provide technical guidance and mentorship.Foster a collaborative and innovative team environment.2. AI Algorithm Development:Design and implement state-of-the-art AI algorithms for medical imaging.Ensure the algorithms meet clinical needs and regulatory standards.Stay abreast of the latest developments in AI and medical imaging technology.3. Project Management:Oversee multiple projects from conception to implementation.Manage timelines, resources, and budget allocations.Ensure projects are completed on time and within specifications.4. Collaboration and Communication:Work closely with medical professionals to understand clinical requirements.Liaise with other departments, stakeholders, and external partners.Present complex technical details to non-technical audiences.5. Quality Assurance and Compliance:Ensure the highest quality of AI applications.Comply with relevant healthcare regulations and standards.Implement and maintain data privacy and security measures.",https://wuzzuf.net/jobs/p/xslEtIqI7D7T-AI-Engineer-Paxerahealth-Corp-Cairo-Egypt
Front-End Developer,Shebak ,"Smart Village, Giza, Egypt ",5 hours ago,Full TimeOn-site,Confidential,"Python, Odoo, javaScript, Git, Linux, Information Technology (IT), Troubleshooting, SQL, Linux Platform, Unix, CSS3, HTML5, C/C++, PostgreSQL, Computer Science, JQuery, Bootstrap, Front End, CSS, JSON, Angular, React, Photo Editing, Design, Graphic Design, APIs, Agile, RequireJS, SystemJS, Vue, AngularJS, Cross Platform, Open-Source Software, Ruby, Web Development, Web Design, UX Design, Prototype Chain, CSS Grid",IT/Software Development,"Required Skills

1+ Years of experience is a MUST
Proficiency with Javascript, CSS, and HTML5.
Proficient understanding of JavaScript inheritance and Prototype Chain.
Experience with responsive design, CSS Grid, and Bootstrap.
Understand APIs and web services for consuming JSON.
Excellent problem solving and troubleshooting skills – a passion for root cause analysis and problem resolution.
Knowledge of cross-browser compatibility issues and ways to work around them.
Good Understanding of Object-oriented Programming.
Quick and autonomous learner.
Basic knowledge of graphics and photo editing applications.

Nice To Have

Familiarity with module loaders like RequireJS/SystemJS.
In-depth understanding of React, AngularJS, or Vue frameworks.
Experience in cross-platform mobile app frameworks.
Unix/Linux platform, Git, and open source development tools
Basic knowledge of Python or Ruby.
Familiarity with Odoo Web Client is a plus.","We are building reliable and scalable enterprise solutions based on Odoo framework. You are a front end developer who loves crafting beautiful applications that work smoothly on all browsers and on mobile and if you love solving problems and have a desire to work on a thoughtful, agile team then we’d love to talk to you.
You Will Be Responsible For:

Develop interactive responsive web widgets using HTML5/CSS/JS
Develop JavaScript-based web applications using modern frameworks.
Collaborate with other team members and stakeholders.
Ensure the technical feasibility of UX designs.",https://wuzzuf.net/jobs/p/ozJfNNybUDGz-Front-End-Developer-Shebak-Giza-Egypt
Senior Developer - Enterprise Software,eT3  Tomorrow Information Technology ,"New Cairo, Cairo, Egypt ",2 days ago,Full TimeHybrid,Confidential,"Information Technology (IT), Computer Science, Fullstack, Frontend Development, HTML, CSS, javaScript, Backend Development, Python, Django, APIs, DRF, Enterprise Web Applications, Message Queues, SQL, SQL Queries, Gunicorn, BizTalk, IIS, Software Engineering, Software Development, API, Enterprise, Vue.js, GIS, Business Intelligence, Machine Learning, Flutter, Mobile Development, Telecom Engineering",IT/Software Development,"Good command of some or all of the following (the more the better):Backend DevelopmentWeb frameworks (preferably: Python Django)APIs  (Preferably: DRF)Data Access (Preferably Django ORM )Experience in frameworks and languages similar to those preferred (such as C#, Java or PHP frameworks) is highly considered - as the concepts are mostly the same - provided that you exhibit ability to learn new frameworks and languages easily.Frontend DevelopmentHTMLCSSJavascript Frameworks (Preferably Vue.js)Experience in development of Enterprise SystemsPortalsAPI PlatformsIntegration (Application and data integration)Enterprise web applicationsDatabase design/modeling and developmentBackground tasks and message queuesReports/Business IntelligenceDatabaseComplex SQL queries and ObjectsMobile AppMobile app development capabilities (preferably Flutter) is a plus.Artificial IntelligenceAI capabilities are a plus.Business IntelligenceBusiness Intelligence capabilities are a plus.DevOpsGitlabDockerKubernetesGunicornWaitressIISLinuxWindows Server","Job DescriptionYou are aspiring to become - as part of a team - a role model, by acquiring knowledge, optimizing work, delivering quality, and communicating all this to others.You will be responsible for developing high-quality enterprise applications for Institutions and Government.You will work as part of a team in an agile manner.You will review code and merge requests of team membersYou will mentor developers to achieve the best practices, ideas and solve their problemsWork with the team to achieve the best design choicesWork with the team and the devops engineers to apply optimum project pipelinesYou will create automated tests for your work.You will deliver your product through automated Continuous Integration & Delivery pipelines as well orchestrated containers.You will document your code and product systems comprehensively.You will manage code, issues and pull requests on git.",https://wuzzuf.net/jobs/p/qUQwm7nzDftm-Senior-Developer---Enterprise-Software-eT3---Tomorrow-Information-Technology-Cairo-Egypt
Senior Django Developer,Confidential ,"Maadi, Cairo, Egypt ",2 days ago,Full TimeOn-site,Confidential,"Django, back-end, Python, Web Development, front-end, Information Technology (IT), Agile, Computer Science",IT/Software Development,"Extensive expertise in Back-End Web Development and Full-Stack DevelopmentDeep understanding of Python and Django frameworks, with a minimum of 5 years of experienceknowledge of Front-End Development and CSSProven track record in software development and proficiency with agile methodologiesFamiliarity with database systems like PostgreSQL or MySQLHands-on experience with version control systems, particularly GitExceptional problem-solving skills and analytical prowessStellar communication and teamwork abilitiesPrior experience in the healthcare industry is a plusBachelor's or Master's degree in Computer Science or a related fieldJoin us in our mission to revolutionize healthcare through innovative technology. If you're a seasoned Django developer ready to make a significant impact, we'd love to hear from you.","We're currently seeking a seasoned Senior Django Developer to join our team full-time. In this pivotal role, you'll be instrumental in architecting and maintaining both the back-end and front-end of our platforms. Working closely with cross-functional teams, you'll lead the design, implementation, and rigorous testing of software solutions, prioritizing performance, scalability, and security.",https://wuzzuf.net/jobs/p/SOdMi2X80X0j-Senior-Django-Developer-Cairo-Egypt
